table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,ja,足立清掃工場前,0050-02,,
stops,stop_name,ja-Hrkt,あだちせいそうこうじょうまえ,0050-02,,
stops,stop_name,en,Adachi-Seisōkōjō,0050-02,,
stops,stop_name,ja,足立区役所前,0051-01,,
stops,stop_name,ja-Hrkt,あだちくやくしょまえ,0051-01,,
stops,stop_name,en,Adachi-Kuyakusho-Mae (Adachi City Office),0051-01,,
stops,stop_name,ja,足立区役所前,0051-02,,
stops,stop_name,ja-Hrkt,あだちくやくしょまえ,0051-02,,
stops,stop_name,en,Adachi-Kuyakusho-Mae (Adachi City Office),0051-02,,
stops,stop_name,ja,足立流通センター,0052-01,,
stops,stop_name,ja-Hrkt,あだちりゅうつうせんたー,0052-01,,
stops,stop_name,en,Adachi-Ryūtsū Center,0052-01,,
stops,stop_name,ja,足立流通センター,0052-02,,
stops,stop_name,ja-Hrkt,あだちりゅうつうせんたー,0052-02,,
stops,stop_name,en,Adachi-Ryūtsū Center,0052-02,,
stops,stop_name,ja,吾妻橋一丁目,0054-01,,
stops,stop_name,ja-Hrkt,あづまばしいっちょうめ,0054-01,,
stops,stop_name,en,Azumabashi-Itchōme (Azumabashi 1),0054-01,,
stops,stop_name,ja,吾妻橋一丁目,0054-02,,
stops,stop_name,ja-Hrkt,あづまばしいっちょうめ,0054-02,,
stops,stop_name,en,Azumabashi-Itchōme (Azumabashi 1),0054-02,,
stops,stop_name,ja,阿弥陀橋,0056-01,,
stops,stop_name,ja-Hrkt,あみだばし,0056-01,,
stops,stop_name,en,Amidabashi,0056-01,,
stops,stop_name,ja,阿弥陀橋,0056-02,,
stops,stop_name,ja-Hrkt,あみだばし,0056-02,,
stops,stop_name,en,Amidabashi,0056-02,,
stops,stop_name,ja,荒川区役所前,0064-01,,
stops,stop_name,ja-Hrkt,あらかわくやくしょまえ,0064-01,,
stops,stop_name,en,Arakawa-Kuyakusho (Arakawa City Office),0064-01,,
stops,stop_name,ja,荒川区役所前,0064-02,,
stops,stop_name,ja-Hrkt,あらかわくやくしょまえ,0064-02,,
stops,stop_name,en,Arakawa-Kuyakusho (Arakawa City Office),0064-02,,
stops,stop_name,ja,原中学校入口,0065-01,,
stops,stop_name,ja-Hrkt,はらちゅうがっこういりぐち,0065-01,,
stops,stop_name,en,Hara-Chūgakkō-Iriguchi,0065-01,,
stops,stop_name,ja,原中学校入口,0065-02,,
stops,stop_name,ja-Hrkt,はらちゅうがっこういりぐち,0065-02,,
stops,stop_name,en,Hara-Chūgakkō-Iriguchi,0065-02,,
stops,stop_name,ja,荒川土手操車所前,0066-01,,
stops,stop_name,ja-Hrkt,あらかわどてそうしゃじょまえ,0066-01,,
stops,stop_name,en,Arakawadote-Sōshajo,0066-01,,
stops,stop_name,ja,荒川土手操車所前,0066-02,,
stops,stop_name,ja-Hrkt,あらかわどてそうしゃじょまえ,0066-02,,
stops,stop_name,en,Arakawadote-Sōshajo,0066-02,,
stops,stop_name,ja,荒川土手操車所前,0066-03,,
stops,stop_name,ja-Hrkt,あらかわどてそうしゃじょまえ,0066-03,,
stops,stop_name,en,Arakawadote-Sōshajo,0066-03,,
stops,stop_name,ja,荒川一丁目,0067-01,,
stops,stop_name,ja-Hrkt,あらかわいっちょうめ,0067-01,,
stops,stop_name,en,Arakawa-Itchōme (Arakawa 1),0067-01,,
