stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
0007-01,,青山学院中等部前,,35.658995,139.713843,0007-01,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=7,0,,,,
0007-02,,青山学院中等部前,,35.658706,139.71349,0007-02,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=7,0,,,,
0008-01,,青山学院前,,35.662088,139.708771,0008-01,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=8,0,,,,
0008-02,,青山学院前,,35.662214,139.709503,0008-02,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=8,0,,,,
0009-01,,青山斎場,,35.667594,139.724322,0009-01,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=9,0,,,,
0009-02,,青山斎場,,35.666688,139.724266,0009-02,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=9,0,,,,
0010-01,,北青山一丁目アパート前,,35.675023,139.722286,0010-01,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=10,0,,,,
0010-02,,北青山一丁目アパート前,,35.674876,139.721992,0010-02,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=10,0,,,,
0011-01,,青山陸橋下,,35.664645,139.72035,0011-01,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=11,0,,,,
0011-02,,青山陸橋下,,35.664659,139.720601,0011-02,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=11,0,,,,
0012-01,,青山一丁目駅前,東京メトロ銀座線 青山一丁目:都営大江戸線 青山一丁目:東京メトロ半蔵門線 青山一丁目,35.673943,139.723591,0012-01,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=12,0,,,,
0012-02,,青山一丁目駅前,東京メトロ銀座線 青山一丁目:東京メトロ半蔵門線 青山一丁目:都営大江戸線 青山一丁目,35.673926,139.723292,0012-02,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=12,0,,,,
0012-03,,青山一丁目駅前,東京メトロ銀座線 青山一丁目:東京メトロ半蔵門線 青山一丁目:都営大江戸線 青山一丁目,35.672985,139.725326,0012-03,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=12,0,,,,
0012-04,,青山一丁目駅前,東京メトロ半蔵門線 青山一丁目:都営大江戸線 青山一丁目:東京メトロ銀座線 青山一丁目,35.672055,139.725412,0012-04,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=12,0,,,,
0014-01,,青山いきいきプラザ入口,,35.671337,139.724662,0014-01,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=14,0,,,,
0014-02,,青山いきいきプラザ入口,,35.669485,139.723583,0014-02,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=14,0,,,,
0016-02,,赤坂アークヒルズ前,,35.667871,139.740116,0016-02,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=16,0,,,,2
0016-03,,赤坂アークヒルズ前,,35.668011,139.739665,0016-03,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=16,0,,,,1
0018-01,,明石町,,35.668886,139.77859,0018-01,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=18,0,,,,
0018-02,,明石町,,35.668488,139.778642,0018-02,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=18,0,,,,
