ダウンロードした時刻：2024/11/27 12:09:34

,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降雪量合計(cm),降雪量合計(cm),最深積雪(cm),最深積雪(cm),日照時間(時間),日照時間(時間),平均風速(m/s),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,,
,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,,
2019/8/12,33.2,25.6,0.5,0,0,1,0,1,6.6,0,2.6,薄曇一時雨,曇一時晴
2019/8/13,35.5,26.9,0.0,0,0,1,0,1,3.6,0,2.6,曇時々晴一時雨、雷を伴う,晴後曇
2019/8/14,32.4,27.1,8.5,0,0,1,0,1,3.8,0,3.8,曇時々晴一時雨,晴時々曇
2019/8/15,32.6,25.9,20.0,0,0,1,0,1,2.9,0,6.4,曇一時晴後一時雨,曇時々雨
2019/8/16,31.6,28.0,0.0,0,0,1,0,1,3.0,0,7.1,曇一時雨,晴
2019/8/17,35.5,27.3,0,1,0,1,0,1,11.2,0,3.7,晴,晴
2019/8/18,35.2,26.5,0,1,0,1,0,1,8.0,0,2.4,晴後一時曇,曇時々晴
2019/8/19,32.2,25.7,0.5,0,0,1,0,1,1.4,0,3.2,曇時々雨後一時晴,曇時々雨、雷を伴う
2019/8/20,31.1,24.1,13.0,0,0,1,0,1,0.6,0,2.3,曇時々雨、雷を伴う,曇時々晴
2019/8/21,31.4,23.6,3.0,0,0,1,0,1,2.8,0,2.9,曇一時晴,雨時々曇、雷を伴う
2019/8/22,29.5,23.2,20.0,0,0,1,0,1,0.5,0,2.3,曇一時雨,曇後時々雨
2019/8/23,28.5,24.0,4.5,0,0,1,0,1,0.2,0,3.0,雨時々曇,曇一時雨
2019/8/24,31.4,24.0,0.0,0,0,1,0,1,7.0,0,2.5,曇後一時晴,曇後雨
2019/8/25,31.1,20.7,15.0,0,0,1,0,1,9.3,0,2.5,晴,曇一時雨
2019/8/26,28.5,22.9,0.0,0,0,1,0,1,2.1,0,2.8,曇時々晴,曇時々晴
2019/8/27,29.4,22.8,6.0,0,0,1,0,1,2.0,0,2.4,曇一時雨,雨一時曇
2019/8/28,28.1,23.2,7.0,0,0,1,0,1,0.0,0,4.4,雨,曇時々雨
2019/8/29,34.6,24.7,0.0,0,0,1,0,1,6.9,0,3.4,晴時々曇,晴一時曇
2019/8/30,28.0,24.2,12.0,0,0,1,0,1,0.0,0,3.2,雨後時々曇,曇時々雨
2019/8/31,31.7,24.3,0.0,0,0,1,0,1,3.7,0,2.1,曇後一時晴,曇時々晴
2019/9/1,32.1,25.0,0.0,0,0,1,0,1,3.3,0,2.3,曇時々晴,曇時々晴
2019/9/2,31.8,24.1,0,1,0,1,0,1,4.8,0,2.4,晴時々曇,曇時々晴
2019/9/3,28.5,22.6,1.5,0,0,1,0,1,0.0,0,2.6,曇一時雨,雨後曇、雷を伴う
2019/9/4,26.5,22.5,0.0,0,0,1,0,1,0.1,0,2.5,曇,曇
2019/9/5,29.6,23.0,0,1,0,1,0,1,0.5,0,1.8,曇,曇後晴
2019/9/6,32.9,23.1,0,1,0,1,0,1,9.5,0,2.8,晴,晴
2019/9/7,33.5,24.8,0.0,0,0,1,0,1,6.3,0,2.7,晴時々曇,晴
