"統計名：","令和２年国勢調査 人口等基本集計　（主な内容：男女・年齢・配偶関係，世帯の構成，住居の状態，母子・父子世帯，国籍など）"
"表番号：","1-1-1"
"表題：","[総人口・総世帯数・男女・年齢・配偶関係] 男女別人口－全国，都道府県，市区町村（2000年（平成12年）市区町村含む）"
"実施年月：","2020年","10月"
"市区町村時点（年月日）：","-"

"***","当該数値がないもの"
"-","当該数値がないもの"

"","","","","","","/表章事項 コード","2020_01","2020_01","2020_01"
"","","","","","","/表章事項 補助コード","-","-","-"
"","","","","","","/表章事項","人口【人】","人口【人】","人口【人】"
"","","","","","","/男女 コード","0","1","2"
"","","","","","","/男女 補助コード","-","-","-"
"時間軸（年次） コード","時間軸（年次） 補助コード","時間軸（年次）","全国，都道府県，市区町村（2000年市区町村含む） コード","全国，都道府県，市区町村（2000年市区町村含む） 補助コード","全国，都道府県，市区町村（2000年市区町村含む）","/男女","総数","男","女"
"2020000000","","2020年","01603","","（旧：門別町）","","9932","5009","4923"
"2020000000","","2020年","01602","","平取町","","4776","2395","2381"
"2020000000","","2020年","01604","","新冠町","","5309","2603","2706"
"2020000000","","2020年","01607","","浦河町","","12074","5975","6099"
"2020000000","","2020年","01608","","様似町","","4043","1923","2120"
"2020000000","","2020年","01609","","えりも町","","4374","2230","2144"
"2020000000","","2020年","01610","","新ひだか町","","21517","10473","11044"
"2020000000","","2020年","01605","","（旧：静内町）","","18041","8816","9225"
"2020000000","","2020年","01606","","（旧：三石町）","","3476","1657","1819"
"2020000000","","2020年","01631","","音更町","","43576","20630","22946"
"2020000000","","2020年","01632","","士幌町","","5848","2891","2957"
"2020000000","","2020年","01633","","上士幌町","","4778","2343","2435"
"2020000000","","2020年","01634","","鹿追町","","5266","2572","2694"
"2020000000","","2020年","01635","","新得町","","5817","2900","2917"
"2020000000","","2020年","01636","","清水町","","9094","4478","4616"
"2020000000","","2020年","01637","","芽室町","","18048","8612","9436"
"2020000000","","2020年","01638","","中札内村","","3884","1880","2004"
"2020000000","","2020年","01639","","更別村","","3080","1519","1561"
"2020000000","","2020年","01641","","大樹町","","5420","2714","2706"
"2020000000","","2020年","01642","","広尾町","","6387","3096","3291"
"2020000000","","2020年","01643","","幕別町","","25766","12243","13523"
"2020000000","","2020年","01640","","（旧：忠類村）","","1427","698","729"
"2020000000","","2020年","0164B","","（旧：幕別町）","","24339","11545","12794"
"2020000000","","2020年","01644","","池田町","","6294","2967","3327"
"2020000000","","2020年","01645","","豊頃町","","3022","1478","1544"
"2020000000","","2020年","01646","","本別町","","6618","3228","3390"
"2020000000","","2020年","01647","","足寄町","","6563","3215","3348"
"2020000000","","2020年","01648","","陸別町","","2264","1138","1126"
"2020000000","","2020年","01649","","浦幌町","","4387","2138","2249"
"2020000000","","2020年","01661","","釧路町","","19105","9101","10004"
"2020000000","","2020年","01662","","厚岸町","","8892","4173","4719"
"2020000000","","2020年","01663","","浜中町","","5507","2726","2781"
"2020000000","","2020年","01664","","標茶町","","7230","3471","3759"
"2020000000","","2020年","01665","","弟子屈町","","6955","3314","3641"
"2020000000","","2020年","01667","","鶴居村","","2558","1254","1304"
"2020000000","","2020年","01668","","白糠町","","7289","3414","3875"
"2020000000","","2020年","01691","","別海町","","14380","7286","7094"
"2020000000","","2020年","01692","","中標津町","","23010","11339","11671"
"2020000000","","2020年","01693","","標津町","","5023","2465","2558"
"2020000000","","2020年","01694","","羅臼町","","4722","2346","2376"
"2020000000","","2020年","02000","","青森県","","1237984","583402","654582"
"2020000000","","2020年","02201","","青森市","","275192","128049","147143"
"2020000000","","2020年","0220B","","（旧：青森市）","","258064","119995","138069"
"2020000000","","2020年","02364","","（旧：浪岡町）","","17128","8054","9074"
"2020000000","","2020年","02202","","弘前市","","168466","77251","91215"
"2020000000","","2020年","0220C","","（旧：弘前市）","","155163","71163","84000"
"2020000000","","2020年","02341","","（旧：岩木町）","","10187","4657","5530"
"2020000000","","2020年","02342","","（旧：相馬村）","","3116","1431","1685"
"2020000000","","2020年","02203","","八戸市","","223415","106818","116597"
"2020000000","","2020年","0220D","","（旧：八戸市）","","218718","104564","114154"
"2020000000","","2020年","02448","","（旧：南郷村）","","4697","2254","2443"
"2020000000","","2020年","02204","","黒石市","","31946","14789","17157"
"2020000000","","2020年","02205","","五所川原市","","51415","23252","28163"
"2020000000","","2020年","0220E","","（旧：五所川原市）","","41926","18975","22951"
"2020000000","","2020年","02382","","（旧：金木町）","","7699","3449","4250"
"2020000000","","2020年","02385","","（旧：市浦村）","","1790","828","962"
"2020000000","","2020年","02206","","十和田市","","60378","28685","31693"
"2020000000","","2020年","0220F","","（旧：十和田市）","","56695","26914","29781"
"2020000000","","2020年","02404","","（旧：十和田湖町）","","3683","1771","1912"
"2020000000","","2020年","02207","","三沢市","","39152","19602","19550"
"2020000000","","2020年","02208","","むつ市","","54103","26104","27999"
"2020000000","","2020年","0220G","","（旧：むつ市）","","43574","21297","22277"
"2020000000","","2020年","02421","","（旧：川内町）","","3332","1570","1762"
"2020000000","","2020年","02422","","（旧：大畑町）","","5976","2695","3281"
